ra,dec,mag
0.280064,-78.780154,6.78
0.281041,46.614272,7.18
0.281604,-52.651149,6.84
0.281656,49.461915,6.52
0.281944,23.256193,6.95
0.282513,61.533185,5.74
0.284863,38.681636,4.61
0.285845,47.947405,5.86
0.290152,8.876517,6.66
0.292417,-19.051092,6.46
0.295295,51.43309,6.11
0.296583,1.688727,6.19
0.29677,-1.862735,7.1
0.297216,16.331013,7.21
0.297567,20.226994,6.91
0.298007,44.577946,7.38
0.298974,12.771466,6.54
0.299685,-13.45564,6.51
0.302191,3.796763,7.2
0.302558,46.214313,6.83
0.304708,-21.13846,6.69
0.304791,11.206214,6.07
0.305118,-36.509884,6.67
0.305145,-2.014803,7.21
0.305463,36.785224,4.51
0.305491,44.558412,7.19
0.30575,-49.905614,7.27
0.305767,30.39594,7.08
0.307238,-63.477494,7.46
0.307661,76.276527,7.18
0.307995,62.202775,6.97
0.308193,-46.5321,7.47
0.308498,26.140293,7.27
0.310625,31.517227,5.88
0.31101,22.879729,7.14
0.311308,44.629988,7.05
0.311629,-8.053001,6.47
0.311712,43.791141,6.1
0.31182,-43.235571,6.33
0.321703,73.122577,7.31
0.321868,59.13904,7.26
0.322362,-46.499031,7.45
0.323799,-8.823921,3.56
0.326359,-50.429427,7.44
0.326799,-7.224021,7.03
0.328212,40.729461,6.35
0.329645,36.962443,7.26
0.330799,-2.478883,6.96
0.332299,16.250871,6.6
0.332768,-25.121947,7.45
0.333453,38.227397,6.97
0.334142,-64.874791,4.23
0.334153,-17.700434,6.73
0.33474,6.292648,6.81
0.334769,48.865449,6.53
0.336264,-13.061462,6.85
0.340111,30.935614,5.89
0.341759,10.91774,7.03
0.341924,48.968633,6.46
0.342495,45.508927,7.0
0.342817,56.556923,6.73
0.343295,8.190271,5.38
0.344178,-69.624913,5.5
0.345434,61.879595,6.8
0.345979,26.5137,7.39
0.345978,32.911186,5.79
0.346828,-23.630223,6.78
0.348261,-39.239873,7.14
0.348368,32.978005,6.9
0.348498,10.976901,6.57
0.349847,12.771652,7.2
0.351189,-2.909599,6.92
0.352017,37.968603,5.16
0.352564,35.878828,7.37
0.353646,-3.311823,7.36
0.354085,-35.798952,7.14
0.356163,67.005408,7.23
0.357986,-77.426873,5.96
0.358583,-65.751663,7.26
0.358665,-28.981469,5.18
0.35928,-66.304575,7.36
0.359748,38.18712,6.86
0.361786,67.823015,6.55
0.362853,-20.058024,5.61
0.364577,-23.007979,7.4
0.370622,-5.191936,7.11
0.371472,37.761209,7.5
0.372572,-50.992487,6.68
0.373227,35.536349,7.02
0.373745,13.482488,6.25
0.376146,-61.034853,7.3
0.379942,54.645437,7.16
0.380006,-39.262414,6.75
0.38052,29.45428,6.95
0.381051,-12.209438,6.39
0.381076,-37.403411,7.03
0.382602,38.754287,6.69
0.383337,-6.463015,7.49
0.38421,44.52524,7.31
0.384554,-15.942556,6.43
0.386835,-31.035775,6.55
0.389484,-29.847251,6.81
0.390282,-18.89162,7.11
0.398125,60.961413,6.57
0.39988,-17.810366,7.42
0.399952,-3.475294,7.35
0.401463,44.264734,6.66
0.404348,52.019914,5.58
0.408236,-2.219064,6.08
0.410599,14.315514,6.48
0.411021,31.373055,6.76
0.411795,-53.983998,7.27
0.412397,-51.043867,6.81
0.413193,61.831057,5.38
0.413787,-18.471878,6.9
0.418445,53.046786,5.72
0.421593,35.037243,7.37
0.422806,-39.26037,6.91
0.423054,-17.427668,7.06
0.423391,1.939692,5.77
0.427916,-77.254247,2.82
0.428264,54.994205,6.78
0.428309,7.691122,6.77
0.429336,-27.71019,6.88
0.4309,71.807126,6.91
0.431185,65.383533,7.45
0.431279,-8.351456,7.41
0.432956,21.024259,7.5
0.434356,20.146851,6.67
0.435101,55.49093,7.12
0.436687,56.779229,6.71
0.436716,-43.679829,3.93
0.437057,-39.649383,7.11
0.437915,3.825757,6.9
0.438056,-42.305981,2.4
0.439375,-18.693632,6.24
0.439392,49.048991,6.94
0.443726,-0.049533,6.16
0.444294,56.641207,6.58
0.444985,-69.30711,6.98
0.451269,25.042067,6.66
0.451509,-5.003805,7.05
0.451924,-9.873035,7.29
0.452034,80.052141,6.53
0.452168,31.177142,7.35
0.453458,49.985725,6.95
0.453488,25.578516,7.49
0.454085,-25.54717,5.99
0.455628,2.814109,7.18
0.456152,-28.24317,7.01
0.45863,16.025483,6.44
0.460437,-20.134524,6.78
0.461225,-16.409443,7.2
0.461254,58.553911,7.47
0.465472,-33.007167,4.86
0.466241,19.514039,6.4
0.466819,-11.658802,7.35
0.467475,17.893125,5.01
0.469529,20.795955,7.48
0.470195,16.445065,6.05
0.470454,44.394452,5.18
0.470589,-29.040271,6.75
0.472236,10.189848,6.05
0.472528,-20.335051,6.44
0.474011,-29.284755,7.1
0.474027,-39.915002,5.42
0.474368,33.798924,7.13
0.474604,32.437745,6.87
0.475892,-11.237244,6.86
0.47692,33.634041,7.47
0.478632,-50.532859,6.26
0.480764,-24.636676,7.14
0.481733,57.209723,7.3
0.482406,36.899694,6.28
0.4825,48.41371,7.04
0.486235,-11.598064,7.35
0.489131,28.827785,7.34
0.48976,-40.665431,6.82
0.491488,-3.469277,6.95
0.492238,10.38722,7.29
0.49336,62.064152,7.0
0.494185,-2.840424,6.89
0.496945,-32.115982,6.59
0.497686,38.324144,7.47
0.497748,-14.864109,6.15
0.498704,-1.117748,7.46
0.500655,-3.957332,5.72
0.502045,29.751557,5.2
0.502413,4.860111,6.52
0.504545,64.748976,7.27
0.505088,15.795372,7.4
0.505534,59.977554,5.94
0.506293,-23.78768,5.17
0.507242,-48.21491,5.67
0.507729,-40.939586,6.18
0.508139,-39.518547,6.6
0.511313,-9.407754,7.43
0.511561,62.354003,7.39
0.513098,16.037612,6.83
0.51511,77.019404,6.18
0.516637,-10.0847,6.86
0.517367,50.254026,7.37
0.517758,55.702615,6.57
0.520162,69.78526,7.37
0.520252,43.946539,6.76
0.523594,-48.803514,4.76
0.523635,38.980587,7.32
0.52367,66.519617,6.18
0.523787,33.581642,5.88
0.525083,11.532215,7.18
0.52521,20.829507,7.17
0.52537,21.110249,7.48
0.525725,-62.958218,4.36
0.525946,-62.965561,4.53
0.526691,16.020918,6.89
0.527042,9.161201,6.99
0.527986,-1.793667,7.07
0.528105,52.839526,5.59
0.528185,12.913503,7.25
0.528727,19.482031,7.44
0.529539,54.522289,4.74
0.529817,45.926296,7.48
0.530859,18.105333,7.22
0.531912,19.642965,6.87
0.534637,-18.221993,7.07
0.536494,53.815104,6.94
0.537236,34.993886,6.74
0.539385,58.338575,7.1
0.539491,-24.646231,7.32
0.539939,6.955463,5.69
0.540777,43.494794,6.69
0.541668,51.728256,6.94
0.542199,18.794882,6.79
0.542935,27.580759,6.68
0.543189,20.294316,5.38
0.544274,-25.359714,6.72
0.544317,23.193427,6.84
0.545334,38.843771,6.9
0.545512,-63.0315,5.07
0.546528,54.119948,6.91
0.546969,28.280241,6.26
0.548839,16.167235,6.9
0.549997,62.931783,4.17
0.552879,54.894985,5.93
0.553134,-3.847856,7.36
0.55329,-46.951798,7.47
0.55534,70.981843,6.41
0.556463,-71.266246,6.11
0.558094,-0.608808,7.18
0.558252,-55.328323,7.21
0.559004,-38.113396,7.27
0.560095,-26.091818,7.29
0.561401,-29.558278,5.55
0.56217,-35.002078,6.41
0.563336,-39.924596,7.42
0.563591,43.666645,7.5
0.565064,3.319865,7.47
0.569665,10.2992,6.76
0.572073,-42.431239,6.88
0.573583,66.750351,6.47
0.573652,-45.42583,6.8
0.574214,-6.503906,6.9
0.574374,-52.37309,5.57
0.574888,47.915542,7.38
0.574944,-4.546538,7.02
0.577063,67.516467,7.36
0.577894,-37.996007,7.42
0.582046,13.371137,6.39
0.586005,36.832233,6.58
0.586477,62.989381,7.26
0.587154,51.838221,7.37
0.587466,-3.592846,5.2
0.591416,54.2035,6.95
0.592454,-0.50561,5.94
0.592591,-54.821873,6.04
0.592843,-39.746292,7.45
0.593135,53.488911,7.27
0.593659,67.92596,6.92
0.594767,-48.000907,5.51
0.596859,49.02114,6.89
0.597255,16.569475,7.32
0.598557,13.207067,6.32
0.600235,-59.71724,6.91
0.600515,-5.570721,6.72
0.600877,-14.973035,6.45
0.601848,38.25197,7.08
0.601906,-22.842333,6.06
0.602306,54.16845,5.08
0.602724,24.02543,7.23
0.605583,27.254763,6.51
0.605621,44.638892,7.31
0.607595,60.326215,5.78
0.610449,-65.124445,6.43
0.610516,-49.132323,6.79
0.612903,44.488587,5.14
0.612924,54.957369,6.77
0.613142,15.231725,5.89
0.613795,-76.30958,6.72
0.61468,33.719344,4.34
0.616188,53.896909,3.69
0.617102,55.217229,7.43
0.618664,24.014136,6.18
0.621206,58.016213,7.39
0.621617,11.436575,7.04
0.621727,-54.393819,6.4
0.622393,-24.767267,5.57
0.622561,35.399501,5.45
0.6229,-37.28808,6.99
0.624001,40.332378,6.85
0.625136,3.135351,6.43
0.627982,21.09973,6.84
0.629358,72.894853,6.96
0.634595,-0.503529,6.64
0.635097,-41.592245,7.23
0.635626,-66.042812,7.37
0.637417,84.674977,7.11
0.638326,-73.962762,7.43
0.640937,-45.901309,7.41
0.642179,-20.296578,6.73
0.642623,60.324782,6.77
0.642602,29.311751,4.34
0.643367,-23.599234,7.11
0.644624,-73.137618,6.87
0.644879,46.956799,6.72
0.646883,-25.107819,6.43
0.647017,59.826151,6.72
0.649308,26.323756,6.92
0.652748,49.354589,5.45
0.653133,-57.967861,6.81
0.653684,3.133923,7.34
0.655462,30.861024,3.27
0.656063,21.250472,5.88
0.660625,-85.700874,6.81
0.661306,11.532281,7.43
0.662114,-11.150781,6.83
0.663247,82.493762,6.38
0.664428,-44.796293,6.0
0.665436,21.438495,5.36
0.666051,-33.961449,6.68
0.666521,76.871135,6.73
0.672167,24.053897,7.21
0.672229,59.464224,7.04
0.673448,-7.656663,7.43
0.673659,-59.454604,5.89
0.673557,59.513807,7.26
0.673787,70.708233,7.3
0.674606,-16.516676,6.49
0.675075,-55.511476,7.49
0.675116,56.537331,2.24
0.675771,-23.804876,6.14
0.675927,-29.420859,6.75
0.678437,-4.351841,5.9
0.679856,-7.232606,7.02
0.680335,40.187173,7.36
0.680981,-53.209917,7.37
0.683116,21.020451,7.05
0.684837,57.171574,7.44
0.68533,39.458664,5.3
0.686632,9.355058,6.52
0.686867,52.197666,6.74
0.688766,-46.085007,4.59
0.692908,-25.196563,6.55
0.692933,65.868215,6.95
0.693343,24.629008,6.06
0.69621,-56.501315,5.72
0.699309,-43.12482,7.06
0.699387,59.914714,7.42
0.700397,40.688258,7.03
0.700953,66.147592,5.83
0.701081,50.512526,4.8
0.704045,-11.804869,6.78
0.706071,43.937378,7.33
0.707869,-65.46803,5.38
0.708046,27.642911,7.2
0.708618,58.753411,6.18
0.710427,-36.022156,7.07
0.710553,52.337154,6.94
0.711117,71.365895,7.22
0.711485,-65.608495,7.01
0.711609,-60.262807,5.99
0.711914,-38.463483,6.05
0.713225,30.102583,7.37
0.713603,45.929529,7.06
0.713907,64.29128,7.28
0.714095,-9.921691,6.63
0.714653,16.662464,6.56
0.717176,-3.856265,7.22
0.721525,-45.181336,6.98
0.721903,-6.336802,7.42
0.722567,-57.46306,4.36
0.724466,47.024546,4.95
0.72649,-17.986605,2.04
0.73058,-12.011813,6.01
0.731185,33.310715,6.92
0.733159,49.070439,7.1
0.734166,70.823426,6.75
0.736457,46.235555,7.49
0.7365,-10.60955,4.77
0.736683,-38.421686,5.9
0.737329,-49.385893,6.86
0.740612,47.863984,5.66
0.742107,-62.497591,6.06
0.743154,-78.082189,6.61
0.743663,40.679363,7.18
0.744205,-65.649522,6.55
0.74542,48.284364,4.48
0.745666,-22.006135,5.22
0.746639,67.158181,6.9
0.748511,-63.19662,6.94
0.749187,-42.676558,5.94
0.749876,-12.144344,7.24
0.749959,-53.714895,6.15
0.750668,62.528604,6.62
0.751102,75.937798,7.19
0.753044,0.25328,7.01
0.753563,23.590788,7.4
0.754774,55.221396,5.41
0.756702,-4.62916,6.15
0.757969,-12.88081,6.15
0.760862,74.988073,5.64
0.761585,-16.42422,6.47
0.76265,-47.551985,5.8
0.762764,56.774887,6.95
0.76292,26.17304,7.41
0.766453,-16.652551,7.27
0.769669,44.861497,6.03
0.769929,-22.522097,5.49
0.770847,55.305381,6.51
0.77343,30.942642,7.15
0.773706,-57.927642,7.23
0.774177,30.951566,7.34
0.775822,15.475504,5.36
0.776467,-58.04853,7.39
0.777021,-30.190936,6.81
0.777166,46.893784,6.86
0.777313,69.325408,6.39
0.778462,59.574539,6.41
0.779121,21.624329,6.95
0.781041,46.363614,7.48
0.783291,-24.216704,7.5
0.783738,11.973849,5.51
0.787118,19.578702,6.11
0.788981,24.267178,4.08
0.789898,6.740956,5.98
0.793583,-2.321864,7.17
0.7948,-31.352965,7.09
0.795339,-18.061339,5.7
0.795837,26.291654,6.93
0.796119,74.847573,5.42
0.798562,20.925346,6.51
0.79973,51.444753,6.86
0.800296,-21.722492,5.57
0.802487,72.674482,5.86
0.803241,65.11961,6.91
0.804836,7.299928,5.92
0.806382,5.280615,5.74
0.809777,-74.923438,5.09
0.811373,7.585079,4.44
0.811417,52.100811,6.82
0.811462,-28.495431,6.78
0.812947,78.467251,7.11
0.813892,50.968168,4.9
0.815758,-46.697648,6.28
0.816308,16.940644,5.07
0.817961,14.809203,6.95
